661,Martin,Florida
662,Bibb,Georgia
663,Early,Georgia
664,Effingham,Georgia
665,Glynn,Georgia
666,Laurens,Georgia
667,Peach,Georgia
668,Rockdale,Georgia
669,Owen,Indiana
670,Tippecanoe,Indiana
671,Wayne,Indiana
672,Dubuque,Iowa
673,Muscatine,Iowa
674,Cherokee,Kansas
675,Linn,Kansas
676,Morris,Kansas
677,Sedgwick,Kansas
678,Christian,Kentucky
679,Daviess,Kentucky
680,Henderson,Kentucky
681,Pulaski,Kentucky
682,Scott,Kentucky
683,Assumption,Louisiana
684,Calcasieu,Louisiana
685,Iberia,Louisiana
686,Iberville,Louisiana
687,Lafayette,Louisiana
688,Livingston,Louisiana
689,Plaquemines,Louisiana
690,St. James,Louisiana
691,St. Landry,Louisiana
692,Webster,Louisiana
693,West Baton Rouge,Louisiana
694,Calvert,Maryland
695,Wicomico,Maryland
696,Hampshire,Massachusetts
697,Clinton,Michigan
698,Eaton,Michigan
699,Genesee,Michigan
700,Livingston,Michigan
701,Midland,Michigan
702,Mower,Minnesota
703,Scott,Minnesota
704,Holmes,Mississippi
705,Jones,Mississippi
706,Scott,Mississippi
707,Walthall,Mississippi
708,Wilkinson,Mississippi
709,Winston,Mississippi
710,Yazoo,Mississippi
711,Broadwater,Montana
712,Flathead,Montana
713,Madison,Montana
714,Roosevelt,Montana
715,Nemaha,Nebraska
716,Elko,Nevada
717,Cape May,New Jersey
718,Sussex,New Jersey
719,San Miguel,New Mexico
720,Schoharie,New York
721,Wayne,New York
722,Hamilton,Ohio
723,Montgomery,Ohio
724,Richland,Ohio
725,Custer,Oklahoma
726,Grady,Oklahoma
727,Logan,Oklahoma
728,McClain,Oklahoma
729,Washington,Oklahoma
730,Lancaster,Pennsylvania
731,Lebanon,Pennsylvania
732,Westmoreland,Pennsylvania
733,Abbeville,South Carolina
734,Dorchester,South Carolina
735,Saluda,South Carolina
736,Cumberland,Tennessee
737,Dyer,Tennessee
738,Montgomery,Tennessee
739,Washington,Tennessee
740,Wilson,Tennessee
741,Cameron,Texas
742,Crane,Texas
743,DeWitt,Texas
744,Johnson,Texas
745,Van Zandt,Texas
746,Clallam,Washington
747,Monongalia,West Virginia
748,Tucker,West Virginia
749,Bayfield,Wisconsin
750,Calumet,Wisconsin
751,Columbia,Wisconsin
752,Eau Claire,Wisconsin
753,Ozaukee,Wisconsin
754,Sauk,Wisconsin
755,Walworth,Wisconsin
756,Cullman,Alabama
757,Jackson,Alabama
758,Lamar,Alabama
759,Lauderdale,Alabama
760,Washington,Alabama
761,Yuma,Arizona
762,Amador,California
763,Imperial,California
764,Broomfield,Colorado
765,Park,Colorado
766,San Miguel,Colorado
767,New London,Connecticut
768,Monroe,Florida
769,Carroll,Georgia
770,Chatham,Georgia
771,Dawson,Georgia
772,Douglas,Georgia
773,Heard,Georgia
774,Lamar,Georgia
775,Lincoln,Georgia
776,Miller,Georgia
777,Monroe,Georgia
778,Muscogee,Georgia
779,Oconee,Georgia
780,Pickens,Georgia
781,Randolph,Georgia
782,Spalding,Georgia
783,Sumter,Georgia
784,Terrell,Georgia
785,Tift,Georgia
786,Turner,Georgia
787,Worth,Georgia
788,Bingham,Idaho
789,Canyon,Idaho
790,Kootenai,Idaho
791,Adams,Illinois
792,Christian,Illinois
793,McLean,Illinois
794,Allen,Indiana
795,Grant,Indiana
796,Shelby,Indiana
797,Vanderburgh,Indiana
798,Vigo,Indiana
799,Reno,Kansas
800,Riley,Kansas
801,Calloway,Kentucky
802,Catahoula,Louisiana
803,De Soto,Louisiana
804,Rapides,Louisiana
805,Tangipahoa,Louisiana
806,Worcester,Maryland
807,Chisago,Minnesota
808,Clay,Minnesota
809,Fillmore,Minnesota
810,Adams,Mississippi
811,Franklin,Mississippi
812,Humphreys,Mississippi
813,Lafayette,Mississippi
814,Lawrence,Mississippi
815,Lee,Mississippi
816,Marshall,Mississippi
817,Pike,Mississippi
818,Rankin,Mississippi
819,Smith,Mississippi
820,Tippah,Mississippi
821,Christian,Missouri
822,Dunklin,Missouri
823,Kansas City,Missouri
824,Pulaski,Missouri
825,Scott,Missouri
826,Buffalo,Nebraska
827,Lancaster,Nebraska
828,Nye,Nevada
829,Cheshire,New Hampshire
830,Cumberland,New Jersey
831,Doña Ana,New Mexico
832,McKinley,New Mexico
833,Columbia,New York
834,Fulton,New York
835,Genesee,New York
836,Niagara,New York
837,Oneida,New York
838,Carteret,North Carolina
839,Davidson,North Carolina
840,Franklin,North Carolina
841,Orange,North Carolina
842,Pasquotank,North Carolina
843,Pitt,North Carolina
844,Rowan,North Carolina
845,Stanly,North Carolina
846,Pierce,North Dakota
847,Ramsey,North Dakota
848,Ashtabula,Ohio
849,Columbiana,Ohio
850,Marion,Ohio
851,Union,Ohio
852,Warren,Ohio
853,Garvin,Oklahoma
854,Grant,Oregon
855,Union,Oregon
856,Centre,Pennsylvania
857,Erie,Pennsylvania
858,Franklin,Pennsylvania
859,Potter,Pennsylvania
860,Aiken,South Carolina
861,Berkeley,South Carolina
862,Clarendon,South Carolina
863,Darlington,South Carolina
864,Florence,South Carolina
865,Orangeburg,South Carolina
866,Pickens,South Carolina
867,Sumter,South Carolina
868,Anderson,Tennessee
869,Blount,Tennessee
870,Bradley,Tennessee
871,Dickson,Tennessee
872,Greene,Tennessee
873,Hamblen,Tennessee
874,Maury,Tennessee
875,Tipton,Tennessee
876,Brown,Texas
877,Cass,Texas
878,Fannin,Texas
879,Hockley,Texas
880,Upshur,Texas
881,Addison,Vermont
882,Rutland,Vermont
883,Accomack,Virginia
884,Gloucester,Virginia
885,Newport News city,Virginia
886,Norfolk city,Virginia
887,Portsmouth city,Virginia
888,Cowlitz,Washington
889,San Juan,Washington
890,Stevens,Washington
891,Jackson,West Virginia
892,Kanawha,West Virginia
893,Chippewa,Wisconsin
894,Douglas,Wisconsin
895,Dunn,Wisconsin
896,Green,Wisconsin
897,Jefferson,Wisconsin
898,Marathon,Wisconsin
899,Rock,Wisconsin
900,St. Croix,Wisconsin
901,Campbell,Wyoming
902,Natrona,Wyoming
903,Marion,Alabama
904,Apache,Arizona
905,Cochise,Arizona
906,Butte,California
907,El Dorado,California
908,Siskiyou,California
909,Yuba,California
910,Chaffee,Colorado
911,Elbert,Colorado
912,Hinsdale,Colorado
913,Montrose,Colorado
914,Bay,Florida
915,Highlands,Florida
916,Marion,Florida
917,Putnam,Florida
918,St. Lucie,Florida
919,Baldwin,Georgia
920,Lumpkin,Georgia
921,DeKalb,Illinois
922,Delaware,Indiana
923,Elkhart,Indiana
924,Hancock,Indiana
925,Harrison,Indiana
926,Miami,Indiana
927,Washington,Indiana
928,Fayette,Iowa
929,Henry,Iowa
930,Linn,Iowa
931,Story,Iowa
932,Anderson,Kentucky
933,Madison,Kentucky
934,Spencer,Kentucky
935,Avoyelles,Louisiana
936,Beauregard,Louisiana
937,Bienville,Louisiana
938,Claiborne,Louisiana
939,Evangeline,Louisiana
940,Ouachita,Louisiana
941,St. Mary,Louisiana
942,Sagadahoc,Maine
943,Caroline,Maryland
944,Somerset,Maryland
945,Washington,Maryland
946,Nantucket,Massachusetts
947,Allegan,Michigan
948,Barry,Michigan
949,Berrien,Michigan
950,Calhoun,Michigan
951,Clare,Michigan
952,Saginaw,Michigan
953,Tuscola,Michigan
954,Wexford,Michigan
955,Dodge,Minnesota
956,Jackson,Minnesota
957,St. Louis,Minnesota
958,Steele,Minnesota
959,Wabasha,Minnesota
960,Attala,Mississippi
961,Clay,Mississippi
962,George,Mississippi
